eta,polar_order_mean,polar_order_stderr,n_seeds,relax_steps,sample_steps,sample_stride,L,N,speed,R_over_L
0.0,0.9300384050880293,0.04247843188166227,8,100,100,10,400.0,100,1.8,0.1
0.1,0.9109934470991439,0.007087172969738486,8,100,100,10,400.0,100,1.8,0.1
0.2,0.7105141911056639,0.021657571874663384,8,100,100,10,400.0,100,1.8,0.1
0.30000000000000004,0.4415490216995082,0.03651904538028945,8,100,100,10,400.0,100,1.8,0.1
0.4,0.2660348902614194,0.017149591365005618,8,100,100,10,400.0,100,1.8,0.1
0.5,0.2081878111458188,0.011427359338957086,8,100,100,10,400.0,100,1.8,0.1
0.6000000000000001,0.154239354018836,0.012301488149933927,8,100,100,10,400.0,100,1.8,0.1
0.7000000000000001,0.13666623547053203,0.008636047994821925,8,100,100,10,400.0,100,1.8,0.1
0.8,0.09709711747351057,0.0061494917196036215,8,100,100,10,400.0,100,1.8,0.1
0.9,0.09592612875210929,0.003929633442846741,8,100,100,10,400.0,100,1.8,0.1
1.0,0.09810839142650306,0.006669291243626528,8,100,100,10,400.0,100,1.8,0.1
